date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:02	4153/4153	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/login-23.html	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/login-23.html	(from )
16:20:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Jun%202021%2011:20:02%20GMT	https://affixtheme.com/robots.txt		(from )
16:20:04	431/431	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/img/favicon.png	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/img/favicon.png	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:05	472816/472816	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:05	190289/190289	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:05	1674/1674	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/flaticon.css	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/font/flaticon.css	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:06	9324/9324	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:18%20GMT	https://affixtheme.com/html/xmee/demo/img/elements/overlay.png	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/img/elements/overlay.png	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:06	308674/308674	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2005:44:22%20GMT	https://affixtheme.com/html/xmee/demo/style.css	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/style.css	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:06	957/957	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/img/logo-23.png	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/img/logo-23.png	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:06	104678/104678	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Dec%202020%2004:16:16%20GMT	https://affixtheme.com/html/xmee/demo/img/figure/bg23-l.jpg	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/img/figure/bg23-l.jpg	(from https://affixtheme.com/html/xmee/demo/login-23.html)
16:20:07	2600/2600	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/forgot-password-23.html	C:/My%20Web%20Sites/signin_up/reistration/affixtheme.com/html/xmee/demo/forgot-password-23.html	(from https://affixtheme.com/html/xmee/demo/login-23.html)
